,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Coffe & tea & spices,3603.739,3441.755,2400.731,2454.959,2871.855,3144.276,3770.808,4194.912,4791.202,5580.842,5160.341,6265.019,9715.769,8725.69,7633.188,8298.813,8536.214,8310.906,9068.848
Vegetables,3631.587,3771.363,4156.609,4391.086,5082.412,5729.987,6043.082,6619.295,7256.042,7800.571,7525.205,8705.586,9666.64,9945.597,10733.513,10929.738,11290.193,12469.205,12742.979
Fruit,4764.456,4629.477,4665.207,5067.561,5557.736,5962.378,6873.761,7707.091,9217.309,9888.158,9639.785,10648.976,11973.913,12537.873,13602.256,14807.721,15954.863,17157.015,18383.124
Cocoa & chocolate,1522.497,1404.471,1535.932,1760.854,2439.231,2484.383,2750.601,2659.227,2661.587,3298.821,3476.22,4295.163,4680.551,4095.686,4158.849,4727.952,4859.677,5080.62,5006.537
Cheese,705.223,685.255,745.91,787.967,882.236,981.752,1006.657,1029.438,1107.273,1168.217,1004.352,967.031,1072.952,1093.017,1145.001,1274.747,1290.785,1262.98,1179.027
Wine,2168.718,2186.397,2226.624,2646.196,3239.818,3382.291,3722.496,4112.282,4591.404,4580.372,3971.614,4223.419,4792.788,5039.912,5227.434,5341.378,5384.611,5548.627,5923.823
Wheat,420.717,381.728,434.723,462.84,349.164,442.939,418.078,580.974,848.827,1618.883,1167.591,1081.025,1165.343,1306.62,1663.587,1669.392,1360.865,1134.682,1370.456
